main | Главная | Crossceed Finance
lang | ru | ru
trade | Trade | Торговля
balance | Balance | Баланс
exchange | Exchange | Обмен
history | История | История
news | Новости | Новости
contact | Contact | Контакты
profile | Profile | Профиль
logout | Logout | Выйти
login | Log In | Войти
register | Register | Регистрация
email_check_code | Enter your check code from Email | Вставьте проверочный код, отправленный на Email
condition_age | Confirm conditions and your age | Заполните все поля.
wrong_sum | Wrong sum | Ошибка суммы
wrong_balance | Wrong balance | Неправильный баланс
all_field | Fill all fields | Заполните все поля
about_us | About Us | О нас
products | Products | Продукты
service | Service | Сервис
support | Support 24/7 | Поддержка 24/7
mob_support | Support | Поддержка
submit_request | Submit a request | Отправить запрос
learn | Learn | Learn
community | Community | Community
CROSSCEED_FINANCE | Покупайте и продавайте криптовалюту выгодно и безопасно | Покупайте и продавайте криптовалюту выгодно и безопасно
CROSSCEED_FINANCE_TEXT | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени. Умная система мониторинга предотвращает куплю/продажу в убыток. | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени. Умная система мониторинга предотвращает куплю/продажу в убыток.
step_1 | 1 шаг | 1 шаг
step_2 | 2 шаг | 2 шаг
step_3 | 3 шаг | 3 шаг
step_4 | 4 шаг | 4 шаг
step_5 | 5 шаг | 5 шаг
step_1_text | Клиент передает на управление<br /> свои финансы агенту | Клиент передает на управление<br /> свои финансы агенту
step_2_text | Агент выводит наличные<br /> и отсылает агенту в другой стране. | Агент выводит наличные<br /> и отсылает агенту в другой стране.
step_3_text | Второй агент, где курс ниже,<br /> покупает для клиента криптовалюту,<br /> и передает все компании. | Второй агент, где курс ниже,<br /> покупает для клиента криптовалюту,<br /> и передает все компании.
step_4_text | Основная сумма и прибыль<br /> переводится на счет клиента. | Основная сумма и прибыль<br /> переводится на счет клиента.
step_5_text | Завершение<br /> процесса сделки. | Завершение<br /> процесса сделки.
mobile | Mobile | Mobile
API | API | API
sum | Сумма | Сумма
API_Documentation | Official NAME API Documentation | Official NAME API Documentation
registration_closed | Registration is closed | Регистрация закрыта
for_free | (бесплатная демо) |
your_email | Enter your Email address | Введите Email адрес
your_name | Enter your name | Введите ваше имя
sing_name | Name to use when sing in | Name to use when sing in
create_password |Create a password | Придумайте пароль
create_password_text | Пароль не должен быть менее 6 символов | Пароль не должен быть менее 6 символов
confirm_password | Confirm password | Подтвердите пароль
referral_ID | Referral ID (Optional) | Referral ID (Optional)
terms | I accept Terms and Conditions | I accept Terms and Conditions
over_18 | I am over 18 years old | Мне больше 18 лет
start_now | Начни сейчас! | Создать аккаунт
have_account | Already have account? | Уже создан аккаунт?
sign_in | Sign in | Войти
wrong_password | Wrong password | Неправильный пароль
password_match | Passwords not match | Пароли не совпадают
enter_email | Enter email | Введите email
email | Email | Email
user_exist |User already exist | Пользователь уже добавлен
registration_completed | Registration completed. Now you can login. | Registration completed. Now you can login.
registration_completed_code | Registration completed. Now you can login. | Registration completed. Now you can login.
registration_moderation | Registration completed. You can login after moderation. | Registration completed. You can login after moderation.
registration_instruction | To complete registration follow instructions: instructions. | To complete registration follow instructions: instructions.
your_password | Your Password | Ваш пароль
email_code | Email Code | Email код
dont_have_account | Don't have an account? | Don't have an account?
sign_up | Sign Up | Зарегистрироваться
wrong_login | Wrong login or password | Не верный логин или пароль
account_blocked | Account blocked | Account blocked
account_moderated | Account not moderated | Account not moderated
account_deleted | Аккаунт удален администратором | Аккаунт удален администратором
wrong_code | Не верный код авторизации | Не верный код авторизации
wrong_code_2 | Не верный код | Не верный код
your_code | Ваш код авторизации | Ваш код авторизации
contact_center | Контактный центр | Контактный центр
create_help | Поможем с любым вопросом | Поможем с любым вопросом
customer_service | Контактный центр работает круглосуточно и без выходных, чтобы помочь вам. | Контактный центр работает круглосуточно и без выходных, чтобы помочь вам.
ask_question | Задать вопрос | Задать вопрос
send_request | Задать вопрос | Задать вопрос
topic_1 | Topic 1 | Topic 1
topic_2 | Topic 2 | Topic 2
topic_3 | Topic 3 | Topic 3
your_question | Ваш вопрос | Ваш вопрос
FAQ | FAQ | FAQ
our_address | Our Address | Our Address
address_1 | 7298 East Charles Street | 7298 East Charles Street
address_2 | New Lenox, IL 60451 | New Lenox, IL 60451
contact_info | Contact Info | Contact Info
phone_1 | (896) 931-6550 | (896) 931-6550
phone_2 | (965) 446-9687 | (965) 446-9687
follow_us | Follow Us | Follow Us
sended | Sended | Sended
choose_currency_sell | Choose currency to sell | Choose currency to sell
choose_currency_buy | Choose currency to buy | Choose currency to buy
you_get | You'll get | You'll get
enough_balance | Not enough balance | Not enough balance
exchange_completed | Exchange completed | Exchange completed
wallet_history | Wallet History | Wallet History
date | Date | Date
information | Information | Information
payment_manual | All payments are made once every 24 hours upon request and in manual mode | All payments are made once every 24 hours upon request and in manual mode
status | Status | Status
complete | Complete | Завершен
pending | Pending | В ожидании
declined | Declined | Declined
wallet | Wallet | Wallet
read_more | Read more | Read more
account_verification | Верификация аккаунта | Верификация аккаунта
first_name | First Name | First Name
second_name | Second Name | Second Name
patronymic | Patronymic | Patronymic
address | Address | Address
password | Password | Password
OK | OK | OK
document_1 | Load 1st page of document | Load 1st page of document
document_2 | Load 2st page of document | Load 2st page of document
send | Send | Send
vip_request | Подать заявку на VIP | Подать заявку на VIP
have_vip_request | У вас уже есть не рассмотренные заявки | У вас уже есть не рассмотренные заявки
wrong_format | Wrong file format | Wrong file format
first_file | Upload first file | Upload first file
uploaded | Uploaded | Uploaded
bad_password | Новый пароль не удовлетворяет требованиям | Новый пароль не удовлетворяет требованиям
user | Пользователь | Пользователь
technical_issue | <p>Technical issue page content</p> | <p>Technical issue page content</p>
subject | Subject | Тема вопроса
close_ticket | Закрыть Тикет | Закрыть Тикет
create | Create | Create
comment | Комментарий | Комментарий
add | Добавить | Добавить
open | open | open
closed | closed | closed
your_tickets | Your Tickets | Your Tickets
question | Вопрос | Вопрос
error | Ошибка | Ошибка
another | Другое | Другое
text | Text | Текст
INFO | Информация | Информация
refresh | Refresh | Refresh
replenish | Replenish | Replenish
payout | Payout | Payout
replenish_balance | Replenish Balance | Replenish Balance
choose_wallet | Choose your wallet | Choose your wallet
quantity | Enter quantity | Enter quantity
available | Available | Available
minimal | Minimal | Minimal
commision | Commision | Commision
XLM_address | Your XLM-address | Your XLM-address
memo_ID | Memo ID (optional) | Memo ID (optional)
create_request | Create request | Create request
check_code | Enter your check code from Email | Enter your check code from Email
trade_process | Trade Process | Процесс торговли
start_robot | Start Robot | Авторобот
trade_dont | Trade dont work | Trade dont work
email_code_2 | Для подтверждения введите код из письма | Для подтверждения введите код из письма
volume_24 | Объем торгов за 24 часа | Объем торгов за 24 часа
order_amount | Enter the order amount | Введите сумму, минимум:
apply | Apply | Apply
bid_USD | Bid USD | Bid USD
ask_USD | Ask USD | Ask USD
chg_24h | Chg 24h | Chg 24h
graphs | Графики | Графики
to_processing | Go to order processing | Go to order processing
days | Days | Days
number_days | Number of working days | Number of working days
start | Start | Старт
stop | Stop | Стоп
arbitrage | Arbitrage | Arbitrage
CALCULATION | CALCULATION OF THE ARBITRATION SYSTEM | CALCULATION OF THE ARBITRATION SYSTEM
volume | Volume | Volume
market_exchange | Market (exchange) | Market (exchange)
beneficiary | Beneficiary | Beneficiary
commission_bid | Commission/bid | Commission/bid
amount | Amount | Amount
withdraw | Withdraw/exchange (fiat) | Withdraw/exchange (fiat)
receipt | Receipt | Receipt
issuing_bank | Issuing Bank | Issuing Bank
requirements | Не выполнены условия для завершения операции. | Не выполнены условия для завершения операции.
transit_paysafe | Transit Adyen | Transit Adyen
purchase | Purchase | Purchase
commission_withdraw | Commission/Withdraw | Commission/Withdraw
delta | Delta | Delta
distribution | Distribution | Distribution
counterparty_sale | Counterparty/sale | Counterparty/sale
counterparty_purchase | Counterparty/purchase | Counterparty/purchase
COMPANY | COMPANY | COMPANY
delta_client | Delta/Client | Delta/Client
partner | Partner | Partner
total_transaction | Total transaction | Total transaction
transaction_result | Return transaction result (including total profit) | Return transaction result (including total profit)
confirm | Confirm the exchange operation | Confirm the exchange operation
proliminary | Proliminary | Proliminary
online_orders | Online orders | Online orders
no_premilinary | The are no premilinary orders | The are no premilinary orders
current_status | Current status | Current status
sale | Sale | Sale
transaction_hash | Transaction hash | Transaction hash
commission_withdrawal | Commission/USD withdrawal | Commission/USD withdrawal
dispatch_volume | Dispatch volume | Dispatch volume
comission_operator | Comission Operator | Comission Operator
no_request | У вас нет заявок на торговлю | У вас нет заявок на торговлю
detail | Detail | Detail
new | НОВЫЙ | НОВЫЙ
accept | ПРИНЯТ | ПРИНЯТ
decline | ОТКЛОНЕН | ОТКЛОНЕН
fail | СБОЙ | СБОЙ
back | Back | Back
stage_1 | Этап сделки 1 | Этап сделки 1
stage_2 | Этап сделки 2 | Этап сделки 2
stage_3 | Этап сделки 3 | Этап сделки 3
stage_4 | Этап сделки 4 | Этап сделки 4
stage_5 | Этап сделки 5 | Этап сделки 5
stage_6 | Этап сделки 6 | Этап сделки 6
ticket_created | Ticket Created | Ticket Created
ticket_list | Ticket List | Ticket List
comment_created | Комментарий добавлен | Комментарий добавлен
ticket_closed | Тикет закрыт | Тикет закрыт
ticket | Ticket | Ticket
referral_list | Список рефераллов | Список рефераллов
payment_history | История выплат | История выплат
request_sended | Заявка подана | Заявка подана
trade_limit | Trade limit reached | Trade limit reached
no_profit | No profit | No profit
trade_sended | Trade request sended | Trade request sended
minimum_refill | Minimum refill limit error | Minimum refill limit error
refill_sended | Refill request sended | Refill request sended
request_done | Заявка уже обработанна | Заявка уже обработанна
request_confirmed | Заявка подтверждена | Заявка подтверждена
payment_destination | Enter payment destination | Enter payment destination
autotrade_isset | У вас есть не завершенный автотрейд. | У вас есть не завершенный автотрейд.
minimum_error | Minimum payout limit error | Minimum payout limit error
maximum_error | Maximum payout limit error | Maximum payout limit error
payout_request | Заявка на вывод средств | Заявка на вывод средств
your_code_2 | Ваш код подтверждения | Ваш код подтверждения
not_found | Не найден | Не найден
no_autotrade | Нет запущеных автотрейдов | Нет запущеных автотрейдов
autotrade_completed | Авторобот завершил работу. | Авторобот завершил работу.
your_profit | Ваша прибыль | Ваша прибыль
autotrade_already | Автотрейд уже запущен | Автотрейд уже запущен
autotrade | Автотрейд | Автотрейд
autotrade_start | Авторобот запущен | Авторобот запущен
thank_you | Thank you for being with us! | Thank you for being with us!
copy | Спасибо за то что вы с нами..      CROSSCEED.COM   Inc. Все права защищены. | Спасибо за то что вы с нами..      CROSSCEED.COM   Inc. Все права защищены.
trade_executed | Ордер успешно завершен . | Ордер успешно завершен .
wallet_amount | Your wallet accrued amount of: | Your wallet accrued amount of:
detailed_history | Больше информации вы можете посмотреть на вашем аккаунте по вкладке меню history | Больше информации вы можете посмотреть на вашем аккаунте по вкладке меню history
trade_complete | Trade Complete | Trade Complete
min_autotrade | Срок автотрейда меньше минимального | Срок автотрейда меньше минимального
login_confirm | Подтвердите вход на crossceed.com | Подтвердите вход на crossceed.com
login_confirm_text | На Ваш email было отправленно письмо с кодом для подтверждения входа. Внимание,если письмо не пришло , проверьте спам . | На Ваш email было отправленно письмо с кодом для подтверждения входа. Внимание,если письмо не пришло , проверьте спам .
dear | Уважаемый(ая) | Уважаемый(ая)
security_code | код безопасности | код безопасности
qtyorder | Количество ордеров | Количество ордеров
your_balance | Ваш баланс | Ваш баланс
order_cancelled | Ордер отменен . Причина : Изменение курса на биржес | Ордер отменен . Причина : Изменение курса на бирже
account_verificated | ваш акаунт верифицирован. Все ограничения сняты | ваш акаунт верифицирован. Все ограничения сняты
payment_order | Ордер на вывод . | Ордер на вывод .
reg_code | Вы зарегистрировались на платформе crossceed.com. Введите код подтверждения регистрации<br/>Код подтвержения регистрации :  | Вы зарегистрировались на платформе crossceed.com. Введите код подтверждения регистрации<br/>Код подтвержения регистрации :
reg2 | Спасибо. Регистрация завершена. Аккаунт не верифицирован. Верифицируйте аккаунт для снятия ограничений  | Спасибо. Регистрация завершена. Аккаунт не верифицирован. Верифицируйте аккаунт для снятия ограничений
reg31 | Ваш аккаунт активирован, но не верифицирован вы можете создавать ордер максимум на | Ваш аккаунт активирован, но не верифицирован. Верифицируйте ваш аккаунт.
reg32 | верифицируйте свой аккаунт для снятия ограничений | верифицируйте свой аккаунт для снятия ограничений
agree_with | Я прочитал и согласен с | Я прочитал и согласен с
user_agreement | пользовательским соглашением | пользовательским соглашением
and | и | и
privacy | политикой конфидициальности | политикой конфидициальности
newsletter | получать новостную рассылку | получать новостную рассылку
registration_email | Код подтверждения выслан на email | Код подтверждения выслан на email
system_agent | System Agent | System Agent
stockbroker | Биржевые Агенты | Биржевые Агенты
name | Имя | Имя
country | Страна | Страна
city | Город | Город
payment_system | Платежные системы | Платежные системы
bank | Банк | Банк
company | Компания | Компания
vacancy_list | Список вакансий | Список вакансий
vacancy_description | Описание вакансии | Описание вакансии
tech_division | Технический отдел | Технический отдел
agent_info | Информация про биржевых агентов | Информация про биржевых агентов
ads | Реклама и продвижение | Реклама и продвижение
VIP_accounts | VIP accounts  | VIP accounts
time | Время | Время
time_place | Местное время | Местное время
operation | Операция | Операция
price | Цена | Цена
qty | Количество | Количество
adelta | Арбитражная дельта | Арбитражная дельта
profitability | Доходность | Доходность
