main | Главная | Crossceed Finance
lang | ru | tr
trade | Торговля | Ticaret
balance | Баланс | Denge
exchange | Обмен | Değişim
history | История | Geçmiş
news | Новости | Haberler
contact | Контакты | Kontaklar
profile | Профиль | Profil
logout | Выйти | Çıkış
login | Войти | Giriş yap
register | Регистрация | Kayıt ol
email_check_code | Введите код проверки с электронной почты | E-postada ki doğrulama kodunuzu girin
condition_age | Подтвердите условия и ваш возраст | Koşullar ve Yaşınızı Onaylayın
wrong_sum | Неправильная сумма | Yanlış Tutar
wrong_balance | Неправильный баланс | Yetersiz Bakiye
all_field | Заполните все поля | Tüm alanları doldurun
about_us | О нас | Hakkımızda
products | Продукты | Ürünler
service | Обслуживание | Servisler
support | Поддержка 24/7 | 7/24 Destek ( Canlı Yardım - Live Help )
mob_support | Поддержка | Destek
submit_request | Отправить запрос | İstek Gönderin
learn | Изучить | Öğren
community | Сообщество | İletişim Topluluğu
ETCCEED_FINANCE | Покупайте и продавайте криптовалюту выгодно и безопасно | Karlı ve güvenli bir şekilde kripto alıp sat
ETCCEED_FINANCE_TEXT | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени.умная система мониторинга предотвращает куплю/продажу в убыток. Наш клиент-инвестор всегда в прибыли как и компания. | Gerçek zamanlı olarak birkaç kripto para birimi borsalarında aynı anda manuel ve otomatik işlevselliğe sahip çok disiplinli bir kripto para birimi platformu. Akıllı bir izleme sistemi, zararla alım / satımı önler.
step_1 | 1 шаг | 1.adım
step_2 | 2 шаг | 2.adım
step_3 | 3 шаг | 3.adım
step_4 | 4 шаг | 4.adım
step_5 | 5 шаг | 5.adım
step_1_text | Клиент передает на управление<br /> свои финансы агенту | Müşteri yönetim finansmanını <br /> acenteye aktarır
step_2_text | Агент выводит наличные<br /> и отсылает агенту в другой стране. | Acente nakit çeker <br /> ve başka bir ülkedeki bir acenteye gönderir.
step_3_text | Второй агент, где курс ниже,<br /> покупает для клиента криптовалюту,<br /> и передает все компании. | Oranın daha düşük olduğu ikinci acente, müşteri için kripto para birimi satın alır ve  şirkete aktarır.
step_4_text | Основная сумма и прибыль<br /> переводится на счет клиента. | Ana para ve karı <br /> müşterinin hesabına aktarılır.
step_5_text | Завершение<br /> процесса сделки. | <br /> İşlem sürecinin tamamlanması.
mobile | Мобильный | Cep Telefonu
API | API | API
sum | Сумма | Toplam Tutar
API_Documentation | Официальная документация API | API Teknik İncelemeleri (Resmi API dokümanları)
registration_closed | Регистрация закрыта | Kayıt tamamlandı
for_free | бесплатно | hesap oluştur
